tqq,tss,nooverlap
t1793c0,t813c0,0
t1793c0,t4633c0,0
t1793c0,t9576c0,0
t1793c0,t12420c0,0
t1793c0,t12925c0,0
t1793c0,t14520c0,0
t1793c0,t15938c0,0
t1793c0,t17327c0,0
t1793c0,t19596c0,0
t1793c0,t22316c0,0
t1793c0,t23022c0,0
t1793c0,t24108c0,0
t1793c0,t24799c0,0
t1793c0,t25561c0,0
t1793c0,t26269c0,0
t1793c0,t26821c0,0
t1793c0,t27278c0,0
t1793c0,t30821c0,0
t1793c0,t31526c0,0
t1793c0,t35608c0,0
t1793c0,t35870c0,0
t1793c0,t36132c0,0
t1793c0,t39354c0,0
t1793c0,t39950c0,0
t1793c0,t40653c0,0
t1793c0,t42078c0,0
t1793c0,t45932c0,0
t1793c0,t48237c0,0
t1793c0,t48548c0,0
t1793c0,t55265c0,0
t1793c0,t55985c0,0
t1793c0,t59712c0,0
t1793c0,t62627c0,0
t1793c0,t63442c0,0
t1793c0,t67318c0,0
t1793c0,t67528c0,0
t1793c0,t70786c0,0
t1793c0,t72582c0,0
t1793c0,t73228c0,0
t1793c0,t73738c0,0
t1793c0,t77653c0,0
t1793c0,t77952c0,0
t1793c0,t81169c0,0
t1793c0,t81753c0,0
t1793c0,t82437c0,0
t1793c0,t82992c0,0
t1793c0,t83238c0,0
t1793c0,t83844c0,0
t1793c0,t86970c0,0
t1793c0,t90300c0,0
t1793c0,t94611c0,0
t1793c0,t97643c0,0
t1793c0,t98359c0,0
t1793c0,t98604c0,0
t1793c0,t99928c0,0
t1793c0,t101135c0,0
t1793c0,t101405c0,0
t9136c4,t2c0,0
t9136c4,t10c0,0
t9136c4,t10c1,0
t9136c4,t12c3,0
t9136c4,t15c1,0
t9136c4,t15c2,0
t9136c4,t20c0,0
t9136c4,t22c9,0
t9136c4,t23c1,0
t9136c4,t31c1,0
t9136c4,t32c2,0
t9136c4,t33c0,0
t9136c4,t36c0,0
t9136c4,t36c3,0
t9136c4,t36c4,0
t9136c4,t37c3,0
t9136c4,t38c0,0
t9136c4,t40c3,0
t9136c4,t41c0,0
t9136c4,t42c1,0
t9136c4,t42c5,0
t9136c4,t42c7,0
t9136c4,t42c8,0
t9136c4,t43c2,0
t9136c4,t57c0,0
t9136c4,t57c4,0
t9136c4,t57c5,0
t9136c4,t57c6,0
t9136c4,t57c7,0
t9136c4,t57c8,0
t9136c4,t57c9,0
t9136c4,t57c11,0
t9136c4,t57c12,0
t9136c4,t57c13,0
t9136c4,t57c14,0
t9136c4,t57c15,0
t9136c4,t62c4,0
t9136c4,t64c1,0
t9136c4,t66c3,0
t9136c4,t66c4,0
t9136c4,t66c5,0
t9136c4,t70c1,0
t9136c4,t70c2,0
t9136c4,t76c1,0
t9136c4,t77c0,0
t9136c4,t78c0,0
t9136c4,t78c3,0
t9136c4,t78c4,0
t9136c4,t78c5,0
t9136c4,t83c0,0
t9136c4,t85c3,0
t9136c4,t89c4,0
t9136c4,t89c5,0
t9136c4,t96c4,0
t9136c4,t96c5,0
t9136c4,t96c6,0
t9136c4,t97c2,0
t9136c4,t98c2,0
t9136c4,t105c1,0
t9136c4,t111c1,0
t9136c4,t111c2,0
t9136c4,t115c3,0
t9136c4,t117c2,0
t9136c4,t117c3,0
t9136c4,t118c0,0
t9136c4,t122c2,0
t9136c4,t128c2,0
t9136c4,t131c11,0
t9136c4,t138c0,0
t9136c4,t139c3,0
t9136c4,t139c4,0
t9136c4,t139c5,0
t9136c4,t139c6,0
t9136c4,t139c8,0
t9136c4,t139c9,0
t9136c4,t139c10,0
t9136c4,t139c14,0
t9136c4,t142c2,0
t9136c4,t142c3,0
t9136c4,t142c4,0
t9136c4,t142c5,0
t9136c4,t142c7,0
t9136c4,t146c10,0
t9136c4,t146c13,0
t9136c4,t147c5,0
t9136c4,t149c3,0
t9136c4,t156c1,0
t9136c4,t159c3,0
t9136c4,t161c2,0
t9136c4,t161c4,0
t9136c4,t168c0,0
t9136c4,t194c0,0
t9136c4,t199c1,0
t9136c4,t199c2,0
t9136c4,t204c3,0
t9136c4,t206c1,0
t9136c4,t206c2,0
t9136c4,t208c3,0
t9136c4,t214c2,0
t9136c4,t220c0,0
t9136c4,t220c2,0
t9136c4,t222c1,0
t9136c4,t225c3,0
t9136c4,t246c0,0
t9136c4,t248c1,0
t9136c4,t248c3,0
t9136c4,t248c4,0
t9136c4,t248c5,0
t9136c4,t248c6,0
t9136c4,t248c7,0
t9136c4,t248c8,0
t9136c4,t254c0,0
t9136c4,t259c1,0
t9136c4,t259c2,0
t9136c4,t259c5,0
t9136c4,t259c6,0
t9136c4,t263c0,0
t9136c4,t263c4,0
t9136c4,t263c5,0
t9136c4,t267c3,0
t9136c4,t267c4,0
t9136c4,t267c7,0
t9136c4,t267c8,0
t9136c4,t267c9,0
t9136c4,t267c11,0
t9136c4,t267c12,0
t9136c4,t267c13,0
t9136c4,t270c1,0
t9136c4,t273c2,0
t9136c4,t276c1,0
t9136c4,t276c2,0
t9136c4,t276c3,0
t9136c4,t276c4,0
t9136c4,t277c1,0
t9136c4,t286c3,0
t9136c4,t287c2,0
t9136c4,t293c3,0
t9136c4,t295c6,0
t9136c4,t300c0,0
t9136c4,t310c4,0
t9136c4,t317c3,0
t9136c4,t322c3,0
t9136c4,t324c3,0
t9136c4,t324c5,0
t9136c4,t326c3,0
t9136c4,t329c3,0
t9136c4,t335c2,0
t9136c4,t335c4,0
t9136c4,t335c5,0
t9136c4,t335c6,0
t9136c4,t335c8,0
t9136c4,t335c11,0
t9136c4,t335c12,0
t9136c4,t335c13,0
t9136c4,t345c1,0
t9136c4,t353c0,0
t9136c4,t353c3,0
t9136c4,t353c4,0
t9136c4,t367c0,0
t9136c4,t385c6,0
t9136c4,t393c1,0
t9136c4,t393c2,0
t9136c4,t393c5,0
t9136c4,t393c9,0
t9136c4,t393c11,0
t9136c4,t400c1,0
t9136c4,t412c10,0
t9136c4,t420c1,0
t9136c4,t420c3,0
t9136c4,t423c1,0
